timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
3950789,-10137.588,-388.471,50000.000,-11676.528,-1001.059,50000.000
4000788,-8001.000,-298.824,50000.000,-10563.411,-1367.118,50000.000
4050784,-8494.059,-500.529,50000.000,-9801.411,-1591.235,50000.000
4100784,-7799.293,-776.941,50000.000,-8381.999,-1740.647,50000.000
4150791,-5991.411,-485.588,50000.000,-6902.823,-1344.706,50000.000
4200789,-3772.647,209.176,50000.000,-5498.353,-283.882,50000.000
4250780,-2569.882,724.647,50000.000,-3585.882,627.529,50000.000
4300783,-993.588,268.941,50000.000,-1449.294,500.529,50000.000
4350772,537.882,291.353,50000.000,620.059,-470.647,50000.000
4400755,2779.059,395.941,50000.000,3414.059,-1382.059,50000.000
4450764,6454.588,-373.529,50000.000,7851.588,-395.941,50000.000
4500770,10047.940,-336.176,50000.000,11661.588,1494.118,50000.000
4550789,10458.823,575.235,50000.000,13730.940,2398.059,50000.000
4600790,11512.176,739.588,50000.000,16181.293,1494.118,50001.000
4650807,15180.234,224.118,50000.000,18392.588,821.765,49999.000
4700799,17092.705,373.529,50000.000,19132.176,881.529,50000.000
4750782,17921.939,500.529,50000.000,19916.586,672.353,50000.000
4800779,18586.822,14.941,50000.000,20798.117,993.588,50000.000
4850782,19617.764,0.000,50000.000,20783.176,1800.412,50000.000
4900710,19767.176,440.765,50000.000,20857.881,1143.000,50000.000
4950782,18893.117,896.471,50000.000,20506.764,896.471,50000.000
5000772,18541.998,1845.235,50000.000,20080.939,2876.176,50000.000
5050799,18250.646,1867.647,50000.000,19199.410,3122.706,50000.000
5100793,17481.176,403.412,50000.000,18736.234,2039.470,50000.000
5150787,16562.293,-754.529,50000.000,17787.469,2652.059,50000.000
5200790,15359.528,-1755.588,50000.000,16233.587,1374.588,50000.000
5250805,11893.176,-2338.294,50000.000,14201.587,-1001.059,50000.000
5300789,10369.176,52.294,50000.000,11370.234,149.412,50000.000
5350774,8733.117,620.059,50000.000,8411.882,1643.529,50000.000
5400773,6641.353,-687.294,50000.000,7216.588,2898.588,50000.000
5450781,4654.176,-2457.823,50000.000,4661.647,2218.765,50001.000
5500807,1621.118,-4078.941,50000.000,2674.470,2256.117,49999.000
5550805,-395.941,-4467.412,50000.000,-156.882,2592.294,50000.000
5600777,-3533.588,-3488.764,50000.000,-3750.235,2106.706,50000.000
5650788,-6604.000,-2360.706,50000.000,-6843.059,657.412,50000.000
5700773,-8934.823,-478.118,50000.000,-9629.588,-605.118,50000.000
5750779,-11325.411,530.412,50000.000,-12132.234,-575.235,50000.000
5800796,-12259.234,664.882,50000.000,-13581.528,-112.059,50000.000
5850795,-13559.117,-59.765,50000.000,-14507.882,-657.412,50001.000
5900801,-13940.117,403.412,50000.000,-15456.646,-560.294,49999.000
5950811,-13932.646,373.529,50000.000,-16480.117,-276.412,50000.000
6000795,-14418.234,-889.000,50000.000,-15553.764,-478.118,50000.000
6050787,-14492.940,-1165.412,50000.000,-16726.646,-806.823,50000.000
6100800,-15673.293,-530.412,50000.000,-17488.646,-814.294,50000.000
6150795,-16509.998,-179.294,50000.000,-18213.293,-717.176,50000.000
6200797,-16315.764,-201.706,50000.000,-18041.469,-881.529,50000.000
6250786,-15972.116,-403.412,50000.000,-17496.117,-814.294,50000.000
6300796,-15105.528,-448.235,50000.000,-17070.293,-762.000,50000.000
6350789,-13969.999,-291.353,50000.000,-16457.705,-859.118,50000.000
6400794,-13334.999,-336.176,50000.000,-15419.293,-747.059,50000.000
6450794,-12550.587,-224.118,50000.000,-14216.528,-836.706,50000.000
6500789,-11011.646,-134.471,50000.000,-13409.705,-1143.000,50000.000
6550793,-10802.470,-298.824,50000.000,-12640.234,-829.235,50000.000
6600790,-9778.999,-291.353,50000.000,-11317.940,-605.118,50000.000
6650786,-9405.470,-418.353,50000.000,-9950.823,-702.235,50000.000
6700777,-8180.293,-470.647,50000.000,-8695.764,-769.471,50001.000
6750793,-6828.117,-358.588,50000.000,-7253.941,-784.412,49999.000
6800802,-5453.529,-321.235,50000.000,-5715.000,-605.118,50000.000
6850779,-3862.294,-261.471,50000.000,-4138.706,-403.412,50000.000
6900769,-2472.765,-448.235,50000.000,-2480.235,-485.588,50000.000
6950785,-1075.765,-313.765,50000.000,-1016.000,-283.882,50000.000
7000774,373.529,0.000,50000.000,388.471,104.588,50000.000
7050688,1606.176,37.353,50000.000,1785.470,246.529,50000.000
7100758,2689.412,37.353,50000.000,2995.706,261.471,50000.000
7150754,3683.000,-14.941,50000.000,4228.353,239.059,50001.000
7200778,4788.647,164.353,50000.000,5319.059,216.647,49999.000
7250786,5939.117,179.294,50000.000,6604.000,194.235,50001.000
7300787,7328.646,-194.235,50000.000,8045.823,440.765,49999.000
7350789,8501.529,-156.882,50000.000,9129.059,754.529,50000.000
7400772,9002.059,82.176,50000.000,9614.646,881.529,50000.000
7450761,9569.823,104.588,50000.000,10182.411,717.176,50000.000
7500779,9876.117,-74.706,50000.000,10929.470,567.765,50000.000
7550765,10070.353,254.000,50000.000,11190.940,373.529,50000.000
7600771,10040.470,291.353,50000.000,11609.293,425.823,50000.000
7650769,9905.999,141.941,50000.000,12214.411,664.882,50000.000
7700781,11452.411,82.176,50000.000,12416.117,754.529,50000.000
7750782,11803.528,-179.294,50000.000,12767.234,717.176,50000.000
7800792,11878.234,-7.471,50000.000,12871.822,567.765,50000.000
7850759,11743.764,373.529,50000.000,12647.705,597.647,50000.000
7900778,11825.940,-104.588,50000.000,12617.822,313.765,50000.000
7950787,11676.528,-149.412,50000.000,12617.822,410.882,50000.000
8000789,11579.411,14.941,50000.000,12468.411,433.294,50000.000
8050782,11385.176,29.882,50000.000,12266.705,425.823,50001.000
8100792,11048.999,-14.941,50000.000,12072.470,620.059,49999.000
8150791,10174.940,216.647,50000.000,11736.293,732.118,50000.000
8200778,9734.176,194.235,50000.000,11048.999,903.941,50000.000
8250775,9689.353,-171.824,50000.000,10488.705,1680.882,50000.000
8300783,9069.294,-231.588,50000.000,9592.234,874.059,50000.000
8350768,7679.764,-201.706,50000.000,8860.117,-22.412,50000.000
8400761,7171.764,-306.294,50000.000,7986.058,530.412,50000.000
8450769,6529.293,52.294,50000.000,6559.176,889.000,50000.000
8500762,5005.294,-59.765,50000.000,5535.706,74.706,50001.000
8550757,3877.235,-358.588,50000.000,4355.353,127.000,49999.000
8600794,3107.764,-500.529,50000.000,3234.764,515.471,50000.000
